trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.9999500004166653}",20,0,-80.9023672224956,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.4, 'e': 0.9998000066665778}",25,11,-126.28642248780638,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 3}",1
3,False,"{'a': 0.4, 'e': 0.9995500337489875}",30,12,-63.26737696903992,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 1}",1
4,False,"{'a': 0.4, 'e': 0.9992001066609779}",25,0,-128.6922409724559,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.4, 'e': 0.9987502603949663}",20,0,-105.82942266805361,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.4, 'e': 0.9982005399352042}",25,0,-115.76546200757835,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.4, 'e': 0.9975510002532796}",25,0,-58.67658858800181,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.4, 'e': 0.9968017063026194}",30,0,-172.15327970212184,"{0: 15, 1: 4, 2: 9, 3: 0, 4: 2}",0
9,False,"{'a': 0.4, 'e': 0.9959527330119943}",20,0,-27.257885083386345,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.4, 'e': 0.9950041652780258}",35,0,-180.67668655910816,"{0: 22, 1: 4, 2: 6, 3: 0, 4: 3}",0
11,False,"{'a': 0.4, 'e': 0.9939560979566968}",20,0,-35.532122303237415,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.4, 'e': 0.9928086358538663}",30,7,-109.63772544380949,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 2}",1
13,False,"{'a': 0.4, 'e': 0.9915618937147881}",20,0,-171.56936324276276,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
14,False,"{'a': 0.4, 'e': 0.9902159962126371}",25,0,-147.5308085777256,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.4, 'e': 0.9887710779360422}",20,0,-188.6895167123233,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
16,False,"{'a': 0.4, 'e': 0.9872272833756269}",30,0,-72.18253528022173,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.4, 'e': 0.9855847669095608}",25,0,-80.82461566894796,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.4, 'e': 0.9838436927881214}",20,8,-32.81811805643271,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.4, 'e': 0.9820042351172703}",25,0,-176.09174346980663,"{0: 11, 1: 9, 2: 2, 3: 0, 4: 3}",0
20,False,"{'a': 0.4, 'e': 0.9800665778412416}",25,5,-101.96054172715728,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",1
21,False,"{'a': 0.4, 'e': 0.9780309147241483}",25,0,-184.6608511017946,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
22,False,"{'a': 0.4, 'e': 0.9758974493306055}",30,6,-89.85086454126007,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 1}",1
23,False,"{'a': 0.4, 'e': 0.9736663950053749}",20,0,-56.13658498670644,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
24,False,"{'a': 0.4, 'e': 0.9713379748520296}",20,0,-40.33079120774179,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
25,False,"{'a': 0.4, 'e': 0.9689124217106447}",25,0,-42.692537781934384,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
26,False,"{'a': 0.4, 'e': 0.9663899781345132}",25,0,-172.2720267985289,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
27,False,"{'a': 0.4, 'e': 0.9637708963658905}",20,0,-60.707418229479515,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
28,False,"{'a': 0.4, 'e': 0.9610554383107709}",20,0,-64.05877084201443,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
29,False,"{'a': 0.4, 'e': 0.9582438755126972}",20,0,-43.09101095884289,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
30,False,"{'a': 0.4, 'e': 0.955336489125606}",20,0,-101.89520958485991,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
31,False,"{'a': 0.4, 'e': 0.9523335698857134}",25,0,-193.7538675458107,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
32,False,"{'a': 0.4, 'e': 0.9492354180824408}",25,0,-214.22005963329784,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
33,False,"{'a': 0.4, 'e': 0.946042343528387}",35,0,-257.95792415859245,"{0: 19, 1: 5, 2: 5, 3: 2, 4: 4}",0
34,False,"{'a': 0.4, 'e': 0.9427546655283462}",20,0,-114.2528736176349,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
35,False,"{'a': 0.4, 'e': 0.9393727128473789}",20,3,-66.07547700103139,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
36,False,"{'a': 0.4, 'e': 0.9358968236779348}",20,0,-26.814410526512628,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
37,False,"{'a': 0.4, 'e': 0.9323273456060345}",20,0,-64.60449484404157,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
38,False,"{'a': 0.4, 'e': 0.9286646355765102}",25,0,-127.65504419933046,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
39,False,"{'a': 0.4, 'e': 0.9249090598573131}",25,0,-127.3202519756186,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
40,False,"{'a': 0.4, 'e': 0.9210609940028851}",25,0,-36.1232650549554,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
41,False,"{'a': 0.4, 'e': 0.9171208228166051}",30,13,-143.4247809354063,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 3}",1
42,False,"{'a': 0.4, 'e': 0.9130889403123083}",30,0,-195.93398203209358,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 3}",0
43,False,"{'a': 0.4, 'e': 0.9089657496748851}",25,0,-58.53156179724389,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
44,False,"{'a': 0.4, 'e': 0.9047516632199634}",20,0,-149.08922280949153,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
45,False,"{'a': 0.4, 'e': 0.9004471023526769}",25,0,-85.27194499631244,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
46,False,"{'a': 0.4, 'e': 0.8960524975255252}",25,0,-23.836649583421583,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
47,False,"{'a': 0.4, 'e': 0.891568288195329}",30,12,-219.02715776446283,"{0: 8, 1: 0, 2: 5, 3: 1, 4: 4}",1
48,False,"{'a': 0.4, 'e': 0.8869949227792842}",30,9,-89.1603547242299,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 1}",1
49,False,"{'a': 0.4, 'e': 0.8823328586101215}",20,0,-30.083875975196374,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
50,False,"{'a': 0.4, 'e': 0.8775825618903728}",25,4,-79.40202109020701,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 2}",1
51,False,"{'a': 0.4, 'e': 0.8727445076457513}",20,3,-124.99442912646396,"{0: 8, 1: 3, 2: 4, 3: 0, 4: 2}",1
52,False,"{'a': 0.4, 'e': 0.8678191796776499}",25,0,-137.02729579432196,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
53,False,"{'a': 0.4, 'e': 0.862807070514761}",25,0,-160.11931080656473,"{0: 11, 1: 5, 2: 7, 3: 0, 4: 2}",0
54,False,"{'a': 0.4, 'e': 0.8577086813638242}",25,12,5.229848084561434,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.4, 'e': 0.8525245220595057}",20,0,-93.27778879824456,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
56,False,"{'a': 0.4, 'e': 0.8472551110134161}",20,0,-146.78734468163864,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
57,False,"{'a': 0.4, 'e': 0.8419009751622687}",25,0,-122.66800228785706,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
58,False,"{'a': 0.4, 'e': 0.8364626499151869}",20,0,-43.37011042775451,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
59,False,"{'a': 0.4, 'e': 0.8309406791001636}",20,0,-2.3640151410285295,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
60,False,"{'a': 0.4, 'e': 0.8253356149096783}",25,15,-23.29310057825963,"{0: 5, 1: 4, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.4, 'e': 0.8196480178454795}",20,0,-113.80777541812051,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
62,False,"{'a': 0.4, 'e': 0.8138784566625339}",20,0,-88.99206664148784,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
63,False,"{'a': 0.4, 'e': 0.8080275083121519}",20,0,-170.9540570499672,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
64,False,"{'a': 0.4, 'e': 0.8020957578842927}",25,0,-92.0286476649427,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
65,False,"{'a': 0.4, 'e': 0.7960837985490558}",25,10,-12.8774585766591,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
66,False,"{'a': 0.4, 'e': 0.7899922314973651}",20,2,-76.7490594400568,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 1}",1
67,False,"{'a': 0.4, 'e': 0.7838216658808492}",20,0,-55.0869525776636,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 0}",0
68,False,"{'a': 0.4, 'e': 0.7775727187509279}",25,9,-132.73540816202387,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 3}",1
69,False,"{'a': 0.4, 'e': 0.7712460149971065}",25,0,-114.64026552210385,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
70,False,"{'a': 0.4, 'e': 0.7648421872844884}",30,7,-150.3046910002891,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 3}",1
71,False,"{'a': 0.4, 'e': 0.7583618759905082}",25,0,-134.3216921473666,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
72,False,"{'a': 0.4, 'e': 0.7518057291408949}",25,13,-1.323964852220373,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.4, 'e': 0.7451744023448704}",20,0,-95.48451841299104,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
74,False,"{'a': 0.4, 'e': 0.7384685587295879}",20,0,-46.72206171073797,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
75,False,"{'a': 0.4, 'e': 0.7316888688738209}",20,0,-103.87405000553092,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
76,False,"{'a': 0.4, 'e': 0.7248360107409052}",20,0,-81.28901181975972,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 2}",0
77,False,"{'a': 0.4, 'e': 0.7179106696109434}",30,5,-86.35156608753208,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",1
78,False,"{'a': 0.4, 'e': 0.7109135380122773}",20,8,-102.49987806865147,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 2}",1
79,False,"{'a': 0.4, 'e': 0.7038453156522361}",25,8,-93.35613716783632,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 1}",1
80,False,"{'a': 0.4, 'e': 0.6967067093471654}",20,0,24.339979287270594,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.4, 'e': 0.689498432951747}",20,0,-14.362918552759712,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
82,False,"{'a': 0.4, 'e': 0.6822212072876135}",20,0,-89.62210376549442,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
83,False,"{'a': 0.4, 'e': 0.674875760071267}",25,10,-36.879194739289744,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
84,False,"{'a': 0.4, 'e': 0.6674628258413081}",20,0,-13.466931097770962,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
85,False,"{'a': 0.4, 'e': 0.6599831458849822}",25,15,-18.807599942420627,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
86,False,"{'a': 0.4, 'e': 0.6524374681640519}",20,0,-179.56796595228937,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
87,False,"{'a': 0.4, 'e': 0.6448265472400012}",30,0,-111.07847250579935,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
88,False,"{'a': 0.4, 'e': 0.6371511441985802}",25,0,-65.06958678320083,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
89,False,"{'a': 0.4, 'e': 0.6294120265736969}",20,13,-6.0185317799257945,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.4, 'e': 0.6216099682706644}",30,0,-141.65402266838615,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
91,False,"{'a': 0.4, 'e': 0.6137457494888116}",20,0,-58.813742806746696,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
92,False,"{'a': 0.4, 'e': 0.6058201566434628}",25,0,-5.606855759481838,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
93,False,"{'a': 0.4, 'e': 0.5978339822872982}",25,2,-49.554150250934036,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
94,False,"{'a': 0.4, 'e': 0.5897880250310982}",20,7,-10.93425254757039,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.4, 'e': 0.5816830894638835}",20,7,-82.76059904842923,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 2}",1
