trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.37437130419492,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.66121664441204,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,8,-122.73008734067764,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-108.11970409770632,"{0: 23, 1: 5, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.06740653768625,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.15424232667462,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.6761670754086,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.29796623688965,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-23.016184331862146,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.24092152549156,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-161.739664064637,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.809648413347404,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.49835459974884,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.96371913387827,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,8,-27.33928504053367,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-187.18989020624596,"{0: 20, 1: 5, 2: 6, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-184.62335023700206,"{0: 13, 1: 2, 2: 5, 3: 3, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-130.0299425359719,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,5,-179.280636807552,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.60552515812681,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-58.946563416884075,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-153.78879658351607,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.06986496239533,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-160.0482825535683,"{0: 16, 1: 5, 2: 5, 3: 3, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.9060385526877,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,7,-114.95977811525276,"{0: 7, 1: 3, 2: 7, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",35,0,-142.32269830972493,"{0: 22, 1: 1, 2: 10, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.4685649824208,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,2,-76.35061216879575,"{0: 18, 1: 1, 2: 9, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.45831301299972,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
